Full Name,Win Rate,Total Fight,Win,Lose,Draw,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Blas Avena,0.533333333,15,8,7,0 (1 NC),"6' 0""",170 lbs.,"74""",Orthodox,"Jun 30, 1983",2.34,47%,3.36,43%,2.37,80%,50%,1.8
Mariya Agapova,0.714285714,14,10,4,0,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997",4.67,55%,3.82,52%,0.59,66%,47%,0.9
John Allan,0.65,20,13,7,0 (1 NC),"6' 1""",205 lbs.,"75""",Orthodox,"Feb 22, 1993",3.56,42%,5.74,52%,1.4,71%,50%,0.8
Abu Azaitar,0.736842105,19,14,4,1,"5' 9""",185 lbs.,"76""",Orthodox,"Mar 10, 1986",4.38,43%,4.32,51%,1,37%,42%,0
Hiroyuki Abe,0.347826087,23,8,15,3 (1 NC),"5' 6""",145 lbs.,--,Orthodox,--,1.71,36%,3.11,63%,0,0%,33%,0
Amilcar Alves,0.555555556,27,15,12,0,"6' 0""",170 lbs.,--,Southpaw,"Aug 08, 1988",0.5,46%,2.02,30%,0,0%,53%,0
Art Arciniega,0.681818182,22,15,7,0,"5' 8""",145 lbs.,--,,"Oct 15, 1981",1.53,46%,2.73,51%,0,0%,50%,1
Israel Adesanya,0.888888889,27,24,3,0,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",3.93,48%,3.11,56%,0.05,14%,77%,0.1
John Adajar,0.75,8,6,2,0,"5' 9""",170 lbs.,"75""",Orthodox,"Jun 22, 1991",3.9,52%,6.28,44%,0,0%,0%,0
Viviane Araujo,0.666666667,18,12,6,0,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 21, 1986",4.11,47%,4.96,56%,1.76,40%,78%,0.6
Akbarh Arreola,0.657142857,35,23,11,1,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983",2.32,45%,4.01,56%,1.07,100%,33%,0.4
Sam Adkins,0.24137931,29,7,20,2,"6' 3""",225 lbs.,--,Orthodox,"Apr 26, 1965",0,0%,0,0%,0,0%,0%,0
Hitomi Akano,0.642857143,28,18,10,0,"5' 4""",135 lbs.,--,Southpaw,"Jul 27, 1974",0.59,45%,2.58,55%,0,0%,8%,0.5
Jermaine Andre,0.777777778,18,14,4,0,"5' 7""",200 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0
Yanal Ashmouz,0.875,8,7,1,0,"5' 9""",155 lbs.,"68""",Orthodox,"Mar 31, 1995",3.08,42%,5.35,59%,0.92,50%,50%,0
Antonio Arroyo,0.642857143,14,9,5,0,"6' 3""",185 lbs.,"73""",Orthodox,"Jul 01, 1989",2.82,66%,2.02,50%,1.14,41%,41%,0.2
Jim Alers,0.8125,16,13,3,0 (1 NC),"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",2.9,40%,4.38,56%,2.26,41%,80%,0.3
Shamil Abdurakhimov,0.714285714,28,20,8,0,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",2.41,44%,3.02,55%,1.01,23%,45%,0.1
Saad Awad,0.689655172,29,20,9,0,"5' 11""",155 lbs.,--,,"Jun 07, 1983",2.13,26%,1.87,60%,0.5,16%,100%,0.5
Leon Aliu,0.833333333,12,10,2,0,"6' 0""",185 lbs.,"74""",Orthodox,"Jul 14, 1989",6.32,50%,10.11,38%,0,0%,0%,0
Ali AlQaisi,0.615384615,13,8,5,0,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990",2.43,42%,1.97,56%,3.5,29%,60%,1
Makwan Amirkhani,0.653846154,26,17,9,0,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988",1.33,44%,2.98,46%,3.96,43%,35%,1.1
Juan Andres Luna,0.923076923,13,12,1,0,"5' 7""",125 lbs.,"72""",Orthodox,"Aug 20, 1995",3.27,31%,3,65%,0,0%,0%,0
John Almanza,1,6,6,0,0,--,125 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
Lucas Alexander,0.666666667,12,8,4,0,"5' 11""",145 lbs.,"73""",Orthodox,"Jul 28, 1995",5.23,55%,1.83,71%,0,0%,57%,0
Abdul-Kareem Al-Selwady,0.789473684,19,15,4,0,"5' 8""",155 lbs.,"69""",Orthodox,"Apr 10, 1995",4.14,34%,3.6,59%,2.32,30%,20%,0
Hashem Arkhagha,0.857142857,7,6,1,0,"6' 2""",185 lbs.,"75""",Orthodox,"Sep 11, 1989",1.84,44%,8.97,43%,0,0%,50%,0
Christian Aguilera,0.636363636,22,14,8,0,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991",2.54,37%,4.04,48%,0,0%,60%,0
Yoshihiro Akiyama,0.7,20,14,6,0 (2 NC),"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975",3.1,41%,3.62,57%,2.29,67%,92%,1
Angga,0.8125,16,13,3,0,"5' 7""",145 lbs.,"68""",Orthodox,"Jan 13, 1989",3.56,38%,3.77,53%,0,0%,33%,0
Fabio Aguiar,0.944444444,18,17,1,0,"6' 0""",185 lbs.,--,,"Feb 10, 1988",0,0%,0,0%,0,0%,0%,0
Alfonso Alcarez,0.2,5,1,3,1,"5' 3""",145 lbs.,--,,"Jun 10, 1970",0,0%,0,0%,0,0%,0%,0
Askar Askar,0.916666667,12,11,1,0,"5' 7""",145 lbs.,"69""",Orthodox,"Aug 19, 1994",0,0%,0,0%,0,0%,0%,0
Rich Attonito,0.666666667,15,10,5,0,"5' 10""",170 lbs.,"72""",Orthodox,"Jun 16, 1977",2.28,47%,2.13,59%,0.74,37%,75%,0
Ikram Aliskerov,0.9375,16,15,1,0,"6' 0""",185 lbs.,"76""",Southpaw,"Dec 07, 1992",8.24,65%,7.15,36%,2.33,33%,0%,2.3
Hamid Amiri,1,9,9,0,0,--,145 lbs.,--,,"Jun 15, 2003",0,0%,0,0%,0,0%,0%,0
Amir Albazi,0.944444444,18,17,1,0,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",2.8,39%,3.07,63%,1.71,33%,40%,0.7
Julia Avila,0.75,12,9,3,0,"5' 7""",135 lbs.,"68""",Orthodox,"May 11, 1988",2.59,43%,2.86,50%,0.54,33%,50%,0.3
Brett Albee,0.6,5,3,2,0,--,225 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
Rafael Alves,0.625,32,20,12,0,"5' 8""",155 lbs.,"68""",Orthodox,"Nov 14, 1990",1.85,48%,3.3,58%,0.29,25%,44%,1.5
Ericka Almeida,0.7,10,7,3,0,"5' 6""",115 lbs.,--,Orthodox,"Mar 05, 1989",1.07,39%,3.33,43%,0.5,33%,37%,0
Adlan Amagov,0.823529412,17,14,2,1,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986",3.29,47%,0.82,78%,5.84,56%,100%,0
Felipe Arantes,0.642857143,28,18,10,1 (2 NC),"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988",2.37,45%,2.66,64%,0.93,47%,41%,0.7
Hunter Azure,0.818181818,11,9,2,0,"5' 8""",145 lbs.,"69""",Orthodox,"Mar 02, 1992",3.92,53%,2.08,58%,1.97,34%,67%,1.3
Bill Algeo,0.692307692,26,18,8,0,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989",6.16,52%,4.52,47%,0.86,46%,56%,0.1
Yoji Anjo,0,6,0,5,1,"5' 11""",205 lbs.,--,Orthodox,"Mar 28, 1967",0,0%,3.13,25%,0,0%,0%,0
Gilbert Aldana,0.75,8,6,2,0,"6' 1""",250 lbs.,--,Orthodox,"Aug 25, 1977",2.91,54%,6.26,26%,2.57,40%,33%,0
Kenneth Alexander,0.538461538,13,7,6,0 (1 NC),"5' 9""",155 lbs.,--,Orthodox,"Sep 25, 1977",0.88,19%,2.2,66%,4.71,26%,0%,0
Alatengheili,0.592592593,27,16,9,2,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",2.88,33%,5.03,58%,1.82,40%,72%,0
Levi Alford,0.125,8,1,7,0,--,--,--,,--,0,0%,0,0%,0,0%,0%,0
Houston Alexander,0.53125,32,17,15,1 (2 NC),"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",3.06,54%,3.2,52%,1.19,57%,33%,0
Jessica Aguilar,0.714285714,28,20,8,0,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982",4.93,50%,7.19,53%,0.94,25%,50%,0.2
Adam Antolin,0.8,15,12,3,0,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982",5.73,52%,5,69%,0,0%,100%,0
David Avellan,0.666666667,3,2,1,0,"5' 9""",185 lbs.,--,Orthodox,--,3.33,25%,10,57%,0,0%,0%,0
Corey Anderson,0.736842105,19,14,5,0,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",4.43,46%,2.22,59%,4.89,50%,83%,0
Luciano Azevedo,0.62962963,27,17,9,1,"6' 3""",161 lbs.,--,Orthodox,"Jun 25, 1981",0.76,45%,1.97,27%,2.28,11%,0%,0
Azunna Anyanwu,0.736842105,19,14,5,0,"6' 1""",251 lbs.,--,Orthodox,"Aug 05, 1981",2.47,42%,2.47,69%,0.65,100%,0%,0
Marcio Alexandre Junior,0.80952381,21,17,4,0,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989",1.61,45%,2.89,42%,0.35,20%,66%,0.7
Julio Arce,0.76,25,19,6,0,"5' 7""",145 lbs.,"70""",Southpaw,"Oct 27, 1989",4.36,36%,3.05,68%,0.46,28%,96%,0.3
Matt Andersen,0.608695652,23,14,8,1,"6' 2""",230 lbs.,--,Southpaw,"May 29, 1971",0,0%,0,0%,0,0%,0%,0
David Abbott,0.4,25,10,15,0,"6' 0""",265 lbs.,--,Switch,--,1.35,30%,3.55,38%,1.07,33%,66%,0
Anthony Alves,0.2,5,1,4,0,--,--,--,,--,0,0%,0,0%,0,0%,0%,0
Askar Askarov,0.875,16,14,1,1,"5' 6""",125 lbs.,"67""",Orthodox,"Oct 09, 1992",3.05,54%,2.8,57%,2.6,24%,66%,0.4
Arnold Allen,0.863636364,22,19,3,0,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",3.39,40%,2.91,61%,1.02,50%,75%,0.4
Anthony Avila,0.722222222,18,13,5,0,"5' 7""",145 lbs.,--,,"Dec 29, 1988",0,0%,0,0%,0,0%,0%,0
Scott Askham,0.777777778,18,14,4,0,"6' 3""",185 lbs.,"75""",Southpaw,"May 20, 1988",3.03,46%,3.52,52%,0.44,18%,65%,0.7
Ben Alloway,0.692307692,26,18,8,0,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 19, 1981",1.28,49%,1.9,59%,0.62,50%,26%,0
Dan Argueta,0.818181818,11,9,2,0 (2 NC),"5' 7""",135 lbs.,"68""",Southpaw,"Aug 13, 1993",2.18,45%,1.9,51%,4.45,48%,57%,1.6
Derek Anderson,0.823529412,17,14,3,0 (1 NC),"6' 0""",155 lbs.,--,,"Feb 02, 1990",3.97,37%,3.08,61%,0.34,14%,60%,0
Joey Armstrong,0.714285714,7,5,2,0,--,--,--,,--,0,0%,0,0%,0,0%,0%,0
Nick Agallar,0.8,30,24,6,0,"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979",0.69,11%,4.56,42%,0,0%,0%,0
Hamdy Abdelwahab,1,5,5,0,0 (1 NC),"6' 2""",264 lbs.,"72""",Southpaw,"Jan 22, 1993",3.87,52%,3.13,59%,3,75%,0%,0
Asjabharan,0.538461538,13,7,6,0,"5' 6""",135 lbs.,--,,"Jul 31, 1992",0,0%,0,0%,0,0%,0%,0
Chris Amarante,1,2,2,0,0,--,185 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
Joel Alvarez,0.869565217,23,20,3,0,"6' 3""",155 lbs.,"77""",Orthodox,"Mar 02, 1993",3.65,46%,3.37,50%,0,0%,11%,1.3
Maiara Amanajas dos Santos,0.7,10,7,3,0,"5' 5""",115 lbs.,--,Southpaw,"Jul 11, 1987",5.53,35%,24.47,33%,0,0%,100%,0
Chad Anheliger,0.65,20,13,7,0,"5' 6""",135 lbs.,"64""",Orthodox,"Dec 01, 1986",3.6,45%,3.11,53%,0.82,30%,42%,0.6
Matt Arroyo,0.5,6,3,3,0,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 01, 1982",1.62,47%,2.01,58%,2.12,36%,100%,5.3
Lowell Anderson,0,1,0,1,0,"5' 6""",160 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0
Papy Abedi,0.714285714,14,10,4,0,"5' 11""",185 lbs.,--,Southpaw,"Jun 30, 1978",2.8,55%,3.15,48%,3.47,57%,50%,1.3
Nariman Abbasov,0.875,32,28,4,0,"5' 8""",155 lbs.,"66""",Orthodox,"Feb 01, 1994",3,20%,5.67,46%,0,0%,66%,0
Eli Aronov,0.857142857,7,6,1,0,"5' 10""",185 lbs.,"72""",Orthodox,"Jun 06, 1996",8.92,68%,6.49,38%,12.16,100%,0%,0
Magomed Ankalaev,0.95,20,19,1,1 (1 NC),"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",3.64,53%,2.25,59%,1.02,31%,86%,0
Fellipe Andrew,#DIV/0!,0,0,0,0,--,--,--,,"Oct 24, 1994",0,0%,0,0%,0,0%,0%,0
Cesar Almeida,1,5,5,0,0,"6' 1""",185 lbs.,"74""",Orthodox,"Mar 28, 1988",4.5,64%,1.31,50%,0,0%,62%,0
Veta Arteaga,0.75,4,3,1,0,"5' 7""",125 lbs.,--,,--,3.2,36%,1.92,65%,0,0%,40%,0
Irene Aldana,0.681818182,22,15,7,0,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",5.24,40%,6.33,57%,0.16,50%,76%,0.2
Pat Audinwood,0.785714286,14,11,2,1,"6' 0""",155 lbs.,--,Orthodox,"Apr 16, 1986",1.17,12%,4.31,41%,0.8,50%,0%,0
Dylan Andrews,0.72,25,18,7,0 (1 NC),"6' 1""",185 lbs.,"74""",Switch,"Nov 15, 1979",2.21,50%,2.72,46%,2.83,50%,57%,0.4
Mauricio Alonso,0.65,20,13,7,0 (1 NC),"6' 2""",170 lbs.,--,,"Feb 27, 1980",5.74,34%,1.91,67%,0,0%,0%,0
Ibo Aslan,0.928571429,14,13,1,0,"6' 3""",205 lbs.,"77""",Orthodox,"Apr 23, 1996",6.83,45%,4.53,64%,0,0%,100%,0
Ildemar Alcantara,0.65625,32,21,11,0,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982",1.93,38%,2.63,50%,2,68%,81%,0.9
Warlley Alves,0.681818182,22,15,7,0,"5' 11""",185 lbs.,"72""",Orthodox,"Jan 04, 1991",3.25,48%,4.21,50%,1.35,50%,80%,0.9
Ben Askren,0.904761905,21,19,2,0 (1 NC),"5' 11""",170 lbs.,"73""",Orthodox,"Jul 18, 1984",3.64,49%,5.66,36%,4.33,55%,0%,0.9
Nurullo Aliev,1,9,9,0,0,"5' 10""",155 lbs.,"72""",Orthodox,"Dec 08, 2000",2.5,51%,0.46,59%,3.06,44%,0%,0
Jose Alday,0.666666667,21,14,6,1,"5' 7""",135 lbs.,"68""",Orthodox,"Sep 14, 1991",3.13,44%,3.13,58%,0,0%,57%,0
Royce Alger,0.6,5,3,2,0,"5' 10""",199 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0
Amir Aliakbari,0.909090909,11,10,1,0,"6' 3""",250 lbs.,--,,"Jun 10, 1984",0,0%,0,0%,0,0%,0%,0
John Albert,0.545454545,11,6,5,0,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 13, 1986",3.05,49%,2.82,35%,0,0%,50%,6.1
Tom Aspinall,0.823529412,17,14,3,0,"6' 5""",256 lbs.,"78""",Orthodox,"Apr 11, 1993",7.72,66%,2.77,66%,3.46,100%,100%,1.7
Luiz Azeredo,0.6,25,15,10,0,"5' 9""",154 lbs.,--,Orthodox,"Jun 10, 1976",2.16,39%,2.76,57%,1.07,50%,45%,0.3
Sean Alvarez,0.571428571,7,4,3,0,"6' 0""",235 lbs.,--,Orthodox,"Jul 14, 1971",0.89,37%,3.25,47%,0,0%,0%,0
Igor Araujo,0.735294118,34,25,9,0 (1 NC),"6' 1""",170 lbs.,"77""",Orthodox,"Dec 06, 1980",1.52,42%,2.86,49%,0.86,15%,22%,0.6
Reese Andy,0.7,10,7,3,0,"6' 0""",205 lbs.,--,Orthodox,"Mar 31, 1973",2.87,50%,3.5,58%,0.67,20%,40%,0
Chris Avila,0.555555556,9,5,4,0,"5' 10""",145 lbs.,--,Orthodox,"Jan 16, 1993",2.37,30%,4.17,48%,0,0%,46%,0
Edwin Aguilar,0.577777778,45,26,19,0 (1 NC),"5' 10""",185 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
Andre Amado,0.545454545,11,6,4,1,"6' 0""",154 lbs.,--,Orthodox,--,2.27,24%,5.91,63%,0,0%,20%,0
Teddy Ash,0.736842105,19,14,5,0,"6' 1""",185 lbs.,"73""",Switch,"Dec 27, 1989",7.27,61%,6.8,28%,0,0%,100%,0
Ricardo Abreu,0.833333333,6,5,1,0,"5' 11""",185 lbs.,--,Orthodox,"Apr 27, 1984",3.79,31%,3.98,68%,2.13,42%,100%,0.7
Collin Anglin,0.727272727,11,8,3,0,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 20, 1993",4.59,48%,5.54,51%,2.28,66%,100%,0
Julius Anglickas,0.833333333,6,5,1,0,"6' 3""",205 lbs.,--,Orthodox,"Jul 23, 1991",4.62,78%,1.86,50%,4.47,50%,60%,1.1
Levi Avera,0.545454545,33,18,15,0,"6' 1""",170 lbs.,--,,"May 17, 1982",0,0%,0,0%,0,0%,0%,0
Nick Aguirre,0.777777778,9,7,2,0,"5' 9""",135 lbs.,"74""",Southpaw,"Jan 15, 1996",0.73,33%,2.89,45%,1.16,20%,33%,0.6
Bekzat Almakhan,0.846153846,13,11,2,0,"5' 7""",135 lbs.,"68""",Orthodox,"Oct 08, 1997",0.2,18%,4.53,30%,0,0%,0%,0
Tristan Arenal,0.636363636,11,7,4,0,--,155 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0
Victor Altamirano,0.75,16,12,4,0,"5' 8""",125 lbs.,"70""",Switch,"Jan 23, 1991",4.55,57%,3.7,54%,3.43,39%,63%,0
Raphael Assuncao,0.736842105,38,28,10,0,"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982",3.22,42%,2.5,66%,1.65,39%,78%,0.2
Zarrukh Adashev,0.5,8,4,4,0,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992",3.65,40%,3.04,64%,0,0%,100%,0.5
Olivier Aubin-Mercier,0.6875,16,11,5,0,"5' 9""",155 lbs.,"70""",Southpaw,"Feb 23, 1989",2.48,51%,2.97,55%,2.36,33%,70%,0.5
Jimmy Ambriz,0.435897436,39,17,21,1,"6' 2""",315 lbs.,--,Southpaw,"Jan 26, 1970",0.83,29%,3.76,40%,3.13,57%,100%,0.8
Ottman Azaitar,0.866666667,15,13,2,0,"5' 8""",155 lbs.,"71""",Switch,"Feb 20, 1990",5.73,51%,4.96,48%,0,0%,100%,0
JJ Ambrose,0.8,35,28,7,0 (2 NC),"5' 10""",170 lbs.,--,Orthodox,--,3.16,69%,6.32,33%,0,0%,50%,0
Gilles Arsene,0.5,2,1,1,0,"5' 9""",190 lbs.,--,Southpaw,--,0.06,10%,2.45,32%,0,0%,0%,0
Irina Alekseeva,0.714285714,7,5,2,0,"5' 8""",135 lbs.,"67""",Orthodox,"Jun 27, 1990",3.84,43%,3.55,48%,0.87,20%,100%,0.9
Mostapha Al-Turk,0.5,12,6,6,0,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973",1.36,19%,3.61,53%,0,0%,0%,0
Talita Alencar,0.833333333,6,5,0,1,"5' 1""",115 lbs.,"58""",Orthodox,"Oct 17, 1990",2.37,28%,4.8,48%,2.5,15%,50%,0
Angelo Antonio,0.2,5,1,4,0,--,205 lbs.,--,Orthodox,--,1.09,50%,7.64,50%,0,0%,0%,0
Hyder Amil,1,9,9,0,0,"5' 9""",145 lbs.,"70""",Switch,"May 28, 1990",4.73,54%,2.16,61%,0.68,33%,78%,2
Andrei Arlovski,0.596491228,57,34,23,0 (2 NC),"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",3.78,45%,3.2,57%,0.38,36%,76%,0.2
Brendan Allen,0.827586207,29,24,5,0,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",3.98,53%,3.83,47%,1.74,47%,58%,1.4
JJ Aldrich,0.684210526,19,13,6,0,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992",4.05,46%,4.53,60%,0.71,25%,66%,0
Rostem Akman,0.75,8,6,2,0,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991",1.8,25%,3.97,57%,1,40%,87%,0
Austin Arnett,0.727272727,22,16,6,0,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 22, 1991",4.52,41%,6.38,62%,0.44,18%,57%,0.2
Shinsho Anzai,0.769230769,13,10,3,0,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985",3.23,58%,3.75,45%,1.83,16%,75%,0
Garrett Armfield,0.769230769,13,10,3,0,"5' 6""",135 lbs.,"70""",Orthodox,"Oct 09, 1996",6.22,53%,3.93,58%,0,0%,64%,0
Cesar Arzamendia,0.727272727,11,8,3,0,"5' 11""",155 lbs.,--,Orthodox,"Jan 31, 1991",5.37,45%,5.2,56%,7.32,75%,0%,2.4
Bruno Assis,0.666666667,12,8,4,0,"6' 2""",185 lbs.,--,Orthodox,"May 23, 1992",1.27,43%,3.2,36%,2,50%,66%,1
Jaqueline Amorim,0.888888889,9,8,1,0,"5' 3""",115 lbs.,"68""",Orthodox,"Jun 24, 1995",3.33,52%,1.85,62%,1.48,23%,0%,5.4
Jose Augusto,0.75,8,6,2,0 (1 NC),"6' 3""",251 lbs.,--,,"Mar 28, 1992",0,0%,0,0%,0,0%,0%,0
John Alessio,0.673076923,52,35,17,0 (2 NC),"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979",2.1,39%,2.91,54%,1.85,38%,70%,1.2
Hector Aldana,0.571428571,7,4,3,0,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",3.59,38%,5.08,59%,0.93,100%,0%,0
Josh Appelt,0.681818182,22,15,7,0,"5' 10""",255 lbs.,--,Southpaw,"Jun 19, 1983",1.35,40%,11.5,32%,0,0%,33%,0
Jose Aldo,0.794871795,39,31,8,0,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986",3.57,46%,3.74,60%,0.49,54%,91%,0.1
Aoriqileng,0.714285714,35,25,10,0 (1 NC),"5' 7""",135 lbs.,"69""",Orthodox,"Jun 25, 1993",5.31,50%,6.03,47%,1.45,46%,58%,0
Cyril Asker,0.692307692,13,9,4,0,"6' 0""",247 lbs.,"74""",Orthodox,"Dec 24, 1985",3.35,39%,5.82,35%,4.41,62%,100%,0.9
Daniel Acacio,0.625,48,30,18,0,"5' 8""",180 lbs.,--,Orthodox,"Dec 27, 1977",3.52,36%,2.85,62%,0.33,20%,81%,0
Thiago Alves,0.605263158,38,23,15,0,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983",3.73,41%,3.42,62%,0.71,60%,63%,0.3
Iuri Alcantara,0.777777778,45,35,10,0 (1 NC),"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980",2.72,45%,2.79,49%,1.44,62%,60%,0.8
Marcelo Aguiar,0.333333333,6,2,3,1,"5' 10""",170 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0
Daniel Allen,1,5,5,0,0,"6' 0""",155 lbs.,"75""",Southpaw,"Aug 10, 1992",7.6,51%,5.87,53%,2,66%,100%,0
Kantharaj Agasa,0.8,15,12,3,0,--,135 lbs.,--,,"Feb 16, 1992",0,0%,0,0%,0,0%,0%,0
Klidson Abreu,0.789473684,19,15,4,0 (1 NC),"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992",2.05,40%,2.9,55%,0.64,20%,80%,0
Danny Abbadi,0.4,10,4,6,0,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983",3.29,38%,4.41,57%,0,0%,77%,0
Viscardi Andrade,0.76,25,19,6,0,"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984",3.26,42%,2.77,63%,1.93,50%,66%,0.3
Tatsuya Ando,0.764705882,17,13,3,1,--,135 lbs.,--,,"Apr 26, 1990",0,0%,0,0%,0,0%,0%,0
Mike Altman,0.2,5,1,4,0,"5' 10""",185 lbs.,--,Orthodox,--,1.56,20%,2.08,75%,0,0%,0%,0
